epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.726,1.0164,0.9283,0.97925,0.81979,0.72573,0.7415,0.55814,0.99871,0.8686,1.10758,0.000554359,0.000554359,0.000554359
2,277.524,1.09967,0.7707,1.0074,0.95658,0.91024,0.96238,0.71241,0.96235,0.55735,1.06487,0.00109904,0.00109904,0.00109904
3,414.433,1.09637,0.7277,1.02675,0.95923,0.87095,0.93482,0.66448,1.02605,0.55887,1.09162,0.00163271,0.00163271,0.00163271
4,552.64,1.07286,0.71336,1.0164,0.92738,0.8824,0.92013,0.67443,0.97576,0.54956,1.04318,0.00161749,0.00161749,0.00161749
5,692.193,1.01684,0.65783,0.99735,0.93675,0.91692,0.95264,0.70696,0.95261,0.52976,1.03851,0.00160099,0.00160099,0.00160099
6,834.064,1.02182,0.6349,0.98492,0.95274,0.8693,0.92333,0.688,0.96931,0.54991,1.04458,0.00158448,0.00158448,0.00158448
7,971.776,0.98903,0.61435,0.98829,0.94364,0.87307,0.93168,0.70866,0.93395,0.59269,1.02489,0.00156798,0.00156798,0.00156798
8,1109.52,0.95638,0.59986,0.97484,0.93818,0.81562,0.89293,0.66425,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,1249.05,0.95228,0.60456,0.97448,0.94725,0.90648,0.96216,0.73132,0.92092,0.48328,1.0427,0.00153497,0.00153497,0.00153497
10,1391.69,0.94863,0.58485,0.971,0.95303,0.92227,0.96436,0.73918,0.91382,0.46657,1.02114,0.00151847,0.00151847,0.00151847
11,1531.92,0.93719,0.5604,0.95893,0.94115,0.93327,0.96574,0.72707,0.90622,0.46978,1.00365,0.00150197,0.00150197,0.00150197
12,1669.86,0.92961,0.55227,0.962,0.94695,0.92276,0.96155,0.72976,0.94617,0.48771,1.03736,0.00148546,0.00148546,0.00148546
13,1795.37,0.92078,0.53882,0.95919,0.94753,0.90201,0.94722,0.72531,0.87271,0.49026,0.99204,0.00146896,0.00146896,0.00146896
14,1896.84,0.93096,0.55424,0.96409,0.95254,0.90504,0.95162,0.73052,0.8944,0.479,0.99837,0.00145246,0.00145246,0.00145246
15,1998.5,0.93403,0.56045,0.96012,0.97076,0.94582,0.97052,0.75252,0.89056,0.43634,0.99682,0.00143595,0.00143595,0.00143595
16,2100.35,0.89885,0.53037,0.94906,0.96231,0.90627,0.95677,0.74444,0.9117,0.45637,1.01907,0.00141945,0.00141945,0.00141945
17,2202.19,0.90091,0.53935,0.9458,0.95775,0.92401,0.9652,0.75034,0.87263,0.44513,0.97768,0.00140295,0.00140295,0.00140295
18,2304.12,0.86794,0.51041,0.9377,0.94576,0.83241,0.91059,0.71245,0.87589,0.54498,0.9889,0.00138644,0.00138644,0.00138644
19,2406.13,0.88269,0.53175,0.9429,0.95421,0.916,0.9633,0.74373,0.86465,0.4275,0.97711,0.00136994,0.00136994,0.00136994
20,2508.15,0.89341,0.52315,0.94101,0.95826,0.92967,0.97447,0.73927,0.87069,0.44708,0.98083,0.00135344,0.00135344,0.00135344
21,2610.22,0.86683,0.50093,0.93598,0.95713,0.92251,0.9651,0.73266,0.90011,0.43227,0.99007,0.00133693,0.00133693,0.00133693
22,2712.28,0.89291,0.53048,0.94594,0.96387,0.87318,0.94358,0.74291,0.86537,0.46753,0.98564,0.00132043,0.00132043,0.00132043
23,2814.34,0.86573,0.50211,0.93504,0.94023,0.88252,0.95501,0.75991,0.86161,0.46613,0.97435,0.00130393,0.00130393,0.00130393
24,2916.58,0.87481,0.51219,0.9376,0.96281,0.90594,0.96219,0.75233,0.86578,0.44174,0.96897,0.00128742,0.00128742,0.00128742
25,3018.81,0.85393,0.49598,0.92956,0.94494,0.89122,0.95047,0.7249,0.87275,0.51438,0.97682,0.00127092,0.00127092,0.00127092
26,3120.98,0.86489,0.49381,0.93279,0.96374,0.92528,0.9613,0.74119,0.89776,0.43708,0.99165,0.00125442,0.00125442,0.00125442
27,3223.13,0.85998,0.50167,0.93112,0.95504,0.92928,0.96854,0.75655,0.87361,0.4128,0.97669,0.00123791,0.00123791,0.00123791
28,3325.29,0.86033,0.48911,0.92373,0.93532,0.90332,0.94836,0.73232,0.85911,0.43743,0.96823,0.00122141,0.00122141,0.00122141
29,3427.4,0.86286,0.4872,0.92966,0.95463,0.88827,0.93986,0.74283,0.84565,0.45451,0.96232,0.00120491,0.00120491,0.00120491
30,3529.56,0.82611,0.47182,0.9189,0.9447,0.93206,0.96419,0.73831,0.89033,0.42401,0.97936,0.0011884,0.0011884,0.0011884
31,3631.77,0.8371,0.47235,0.9192,0.95916,0.92104,0.96545,0.74892,0.85982,0.42628,0.97159,0.0011719,0.0011719,0.0011719
32,3733.96,0.84453,0.46227,0.91599,0.95079,0.90218,0.96626,0.74604,0.85633,0.44562,0.96538,0.0011554,0.0011554,0.0011554
33,3836.18,0.82635,0.44973,0.9271,0.96296,0.90304,0.95979,0.7573,0.84676,0.44601,0.96893,0.00113889,0.00113889,0.00113889
34,3938.43,0.84145,0.46463,0.91873,0.95371,0.89803,0.9409,0.73737,0.83897,0.43113,0.95738,0.00112239,0.00112239,0.00112239
35,4040.57,0.82206,0.44754,0.91183,0.96072,0.906,0.95855,0.76181,0.83703,0.43828,0.96058,0.00110589,0.00110589,0.00110589
36,4142.85,0.83409,0.47153,0.92839,0.93629,0.92856,0.96435,0.76725,0.83651,0.42715,0.96235,0.00108938,0.00108938,0.00108938
37,4245.17,0.8161,0.44932,0.9221,0.95632,0.87796,0.92678,0.7252,0.85186,0.45811,0.96264,0.00107288,0.00107288,0.00107288
38,4347.31,0.82933,0.45896,0.922,0.96139,0.95977,0.9763,0.7539,0.87036,0.38689,0.9683,0.00105638,0.00105638,0.00105638
39,4449.53,0.81537,0.46347,0.90969,0.96309,0.94656,0.97537,0.7602,0.85115,0.38787,0.96523,0.00103987,0.00103987,0.00103987
40,4551.72,0.83261,0.45711,0.92059,0.96345,0.89664,0.94977,0.76388,0.83528,0.41396,0.95949,0.00102337,0.00102337,0.00102337
41,4653.98,0.80913,0.44121,0.91541,0.9654,0.9386,0.96601,0.75629,0.83374,0.40149,0.95631,0.00100687,0.00100687,0.00100687
42,4756.23,0.81242,0.45355,0.91492,0.96392,0.90573,0.96814,0.76194,0.84064,0.40336,0.96903,0.000990365,0.000990365,0.000990365
43,4858.47,0.83116,0.46615,0.92237,0.96495,0.88876,0.93878,0.74263,0.83451,0.43164,0.96087,0.000973861,0.000973861,0.000973861
44,4960.69,0.79189,0.44018,0.91212,0.9595,0.92331,0.96645,0.77092,0.82856,0.40056,0.95814,0.000957358,0.000957358,0.000957358
45,5063.04,0.80874,0.43618,0.90588,0.95915,0.9451,0.97375,0.77379,0.84595,0.39818,0.95761,0.000940855,0.000940855,0.000940855
46,5165.4,0.80894,0.43905,0.9201,0.956,0.9077,0.96049,0.76264,0.82127,0.41003,0.95184,0.000924352,0.000924352,0.000924352
47,5267.56,0.81056,0.43822,0.92104,0.96146,0.87617,0.93986,0.74121,0.85772,0.45439,0.96044,0.000907848,0.000907848,0.000907848
48,5369.74,0.78761,0.42152,0.90001,0.96607,0.91309,0.96328,0.76205,0.82343,0.41379,0.9577,0.000891345,0.000891345,0.000891345
49,5471.99,0.80044,0.42765,0.9092,0.95711,0.91336,0.96749,0.77199,0.83786,0.43971,0.95465,0.000874842,0.000874842,0.000874842
50,5574.26,0.81226,0.43092,0.91581,0.97066,0.90477,0.9629,0.75338,0.83537,0.43708,0.95476,0.000858338,0.000858338,0.000858338
51,5676.51,0.79273,0.41927,0.90083,0.96399,0.93582,0.97141,0.77119,0.82592,0.3816,0.95252,0.000841835,0.000841835,0.000841835
52,5778.71,0.78964,0.41469,0.91049,0.97219,0.92028,0.96709,0.76809,0.83961,0.41079,0.95565,0.000825332,0.000825332,0.000825332
53,5880.94,0.8031,0.42725,0.90685,0.95938,0.94285,0.97031,0.76526,0.83498,0.39141,0.95665,0.000808828,0.000808828,0.000808828
54,5983.21,0.77877,0.40344,0.90047,0.96008,0.94009,0.97556,0.77793,0.82066,0.37567,0.95343,0.000792325,0.000792325,0.000792325
55,6085.58,0.7965,0.41523,0.91537,0.96455,0.9359,0.96867,0.76149,0.8423,0.38363,0.96319,0.000775822,0.000775822,0.000775822
56,6187.87,0.77529,0.40306,0.9022,0.96822,0.93242,0.97046,0.77662,0.82022,0.3907,0.95122,0.000759318,0.000759318,0.000759318
57,6290.18,0.77853,0.41167,0.9,0.96776,0.87745,0.93502,0.75416,0.8104,0.46003,0.94851,0.000742815,0.000742815,0.000742815
58,6392.45,0.77792,0.40724,0.90596,0.96867,0.90556,0.94972,0.75845,0.82708,0.41441,0.9549,0.000726312,0.000726312,0.000726312
59,6494.71,0.77689,0.41002,0.91373,0.96999,0.88577,0.95151,0.76411,0.8303,0.43755,0.95223,0.000709809,0.000709809,0.000709809
60,6596.91,0.76571,0.40013,0.90271,0.9199,0.89497,0.95394,0.76803,0.81913,0.46063,0.94661,0.000693305,0.000693305,0.000693305
61,6699.16,0.78417,0.40865,0.90235,0.96954,0.86857,0.91929,0.73598,0.82764,0.47195,0.95351,0.000676802,0.000676802,0.000676802
62,6801.45,0.74697,0.3869,0.89173,0.9716,0.9426,0.96807,0.77157,0.80756,0.38038,0.94702,0.000660299,0.000660299,0.000660299
63,6903.71,0.76202,0.39472,0.90148,0.96932,0.93853,0.9742,0.77472,0.81711,0.35314,0.95172,0.000643795,0.000643795,0.000643795
64,7005.95,0.76541,0.40319,0.90877,0.96576,0.93285,0.97176,0.76789,0.81672,0.38133,0.95076,0.000627292,0.000627292,0.000627292
65,7108.24,0.76177,0.38976,0.89097,0.97235,0.95256,0.97639,0.77715,0.82075,0.34892,0.9498,0.000610789,0.000610789,0.000610789
66,7210.52,0.75168,0.37719,0.89345,0.97451,0.96721,0.98272,0.78228,0.81658,0.3366,0.9469,0.000594286,0.000594286,0.000594286
67,7312.88,0.75837,0.39289,0.89053,0.96875,0.93363,0.97211,0.76945,0.82257,0.39634,0.95076,0.000577782,0.000577782,0.000577782
68,7415.2,0.75848,0.39319,0.88939,0.9608,0.95067,0.97458,0.76982,0.81709,0.35481,0.94359,0.000561279,0.000561279,0.000561279
